case_id,no_dev_total,no_constr_total,dev_fitness
STNR000075,8,1565,0.994888178913738
STNR000076,20,1565,0.9872204472843451
STNR000077,14,1565,0.9910543130990416
STNR000078,5,1565,0.9968051118210862
STNR000079,3,1565,0.9980830670926517
STNR000080,8,1565,0.994888178913738
STNR000081,5,1565,0.9968051118210862
STNR000082,3,1565,0.9980830670926517
STNR000083,7,1565,0.9955271565495207
STNR000084,9,1565,0.9942492012779552
STNR000085,4,1565,0.997444089456869
STNR000086,6,1565,0.9961661341853035
STNR000087,5,1565,0.9968051118210862
STNR000088,7,1565,0.9955271565495207
STNR000089,10,1565,0.9936102236421726
STNR000090,5,1565,0.9968051118210862
STNR000091,3,1565,0.9980830670926517
STNR000092,13,1565,0.9916932907348243
STNR000093,9,1565,0.9942492012779552
STNR000094,14,1565,0.9910543130990416
STNR000095,7,1565,0.9955271565495207
STNR000096,8,1565,0.994888178913738
STNR000097,8,1565,0.994888178913738
STNR000098,5,1565,0.9968051118210862
STNR000099,5,1565,0.9968051118210862
STNR000100,9,1565,0.9942492012779552
STNR000101,5,1565,0.9968051118210862
STNR000102,8,1565,0.994888178913738
STNR000103,9,1565,0.9942492012779552
STNR000104,10,1565,0.9936102236421726
STNR000105,6,1565,0.9961661341853035
STNR000106,6,1565,0.9961661341853035
STNR000107,9,1565,0.9942492012779552
STNR000108,6,1565,0.9961661341853035
STNR000109,8,1565,0.994888178913738
STNR000110,11,1565,0.9929712460063898
STNR000111,5,1565,0.9968051118210862
STNR000112,10,1565,0.9936102236421726
STNR000113,13,1565,0.9916932907348243
STNR000114,10,1565,0.9936102236421726
STNR000115,12,1565,0.9923322683706071
STNR000116,7,1565,0.9955271565495207
STNR000117,4,1565,0.997444089456869
STNR000118,10,1565,0.9936102236421726
STNR000119,16,1565,0.9897763578274761
STNR000120,15,1565,0.9904153354632588
STNR000121,13,1565,0.9916932907348243
STNR000122,14,1565,0.9910543130990416
STNR000123,17,1565,0.9891373801916933
STNR000124,5,1565,0.9968051118210862
STNR000125,10,1565,0.9936102236421726
STNR000126,4,1565,0.997444089456869
STNR000127,5,1565,0.9968051118210862
STNR000128,6,1565,0.9961661341853035
STNR000129,13,1565,0.9916932907348243
STNR000130,6,1565,0.9961661341853035
STNR000131,6,1565,0.9961661341853035
STNR000132,9,1565,0.9942492012779552
STNR000133,7,1565,0.9955271565495207
STNR000134,9,1565,0.9942492012779552
STNR000135,18,1565,0.9884984025559106
STNR000136,11,1565,0.9929712460063898
STNR000137,9,1565,0.9942492012779552
STNR000138,8,1565,0.994888178913738
STNR000139,9,1565,0.9942492012779552
STNR000140,8,1565,0.994888178913738
STNR000141,9,1565,0.9942492012779552
STNR000142,12,1565,0.9923322683706071
STNR000143,11,1565,0.9929712460063898
STNR000144,11,1565,0.9929712460063898
