case_id,no_dev_total,no_constr_total,dev_fitness
STNR000214,2,922,0.9978308026030369
STNR000215,2,922,0.9978308026030369
STNR000216,0,922,1.0
STNR000217,1,922,0.9989154013015185
STNR000218,0,922,1.0
STNR000219,0,922,1.0
STNR000220,0,922,1.0
STNR000221,3,922,0.9967462039045553
STNR000222,0,922,1.0
STNR000223,0,922,1.0
STNR000224,1,922,0.9989154013015185
STNR000225,5,922,0.9945770065075922
STNR000226,3,922,0.9967462039045553
STNR000227,3,922,0.9967462039045553
STNR000228,2,922,0.9978308026030369
STNR000229,9,922,0.9902386117136659
STNR000230,0,922,1.0
STNR000231,8,922,0.9913232104121475
STNR000232,3,922,0.9967462039045553
STNR000233,2,922,0.9978308026030369
STNR000234,0,922,1.0
STNR000235,1,922,0.9989154013015185
STNR000236,3,922,0.9967462039045553
STNR000237,4,922,0.9956616052060737
STNR000238,5,922,0.9945770065075922
STNR000239,3,922,0.9967462039045553
STNR000240,9,922,0.9902386117136659
STNR000241,3,922,0.9967462039045553
STNR000242,0,922,1.0
STNR000243,2,922,0.9978308026030369
STNR000244,18,922,0.9804772234273319
STNR000245,0,922,1.0
STNR000246,0,922,1.0
STNR000247,5,922,0.9945770065075922
STNR000248,0,922,1.0
STNR000249,2,922,0.9978308026030369
STNR000250,3,922,0.9967462039045553
STNR000251,5,922,0.9945770065075922
STNR000252,6,922,0.9934924078091106
STNR000253,8,922,0.9913232104121475
STNR000254,7,922,0.9924078091106291
STNR000255,0,922,1.0
STNR000256,0,922,1.0
STNR000257,4,922,0.9956616052060737
STNR000258,3,922,0.9967462039045553
STNR000259,1,922,0.9989154013015185
STNR000260,3,922,0.9967462039045553
STNR000261,12,922,0.9869848156182213
STNR000262,16,922,0.982646420824295
STNR000263,0,922,1.0
STNR000264,0,922,1.0
STNR000265,0,922,1.0
STNR000266,0,922,1.0
STNR000267,10,922,0.9891540130151844
STNR000268,10,922,0.9891540130151844
STNR000269,10,922,0.9891540130151844
STNR000270,7,922,0.9924078091106291
STNR000271,0,922,1.0
STNR000272,1,922,0.9989154013015185
STNR000273,0,922,1.0
STNR000274,0,922,1.0
STNR000275,0,922,1.0
STNR000276,0,922,1.0
STNR000277,1,922,0.9989154013015185
STNR000278,0,922,1.0
STNR000279,9,922,0.9902386117136659
STNR000280,0,922,1.0
