course_code,reason
62104,Prerequisites not found for course 62104 even in older versions
62409,Prerequisites not found for course 62409 even in older versions
11703,Prerequisites not found for course 11703 even in older versions
31345,Prerequisites not found for course 31345 even in older versions
62418,Prerequisites not found for course 62418 even in older versions
62505,Prerequisites not found for course 62505 even in older versions
62506,Prerequisites not found for course 62506 even in older versions
62507,Prerequisites not found for course 62507 even in older versions
25326,Prerequisites not found for course 25326 even in older versions
25323,Prerequisites not found for course 25323 even in older versions
10851,Prerequisites not found for course 10851 even in older versions
34322,Prerequisites not found for course 34322 even in older versions
02973,Prerequisites not found for course 02973 even in older versions
62427,Prerequisites not found for course 62427 even in older versions
22237,Prerequisites not found for course 22237 even in older versions
62199,Prerequisites not found for course 62199 even in older versions
62623,Prerequisites not found for course 62623 even in older versions
22104,Prerequisites not found for course 22104 even in older versions
23151,Prerequisites not found for course 23151 even in older versions
23154,Prerequisites not found for course 23154 even in older versions
22431,Prerequisites not found for course 22431 even in older versions
62762,Prerequisites not found for course 62762 even in older versions
22433,Prerequisites not found for course 22433 even in older versions
41788,Prerequisites not found for course 41788 even in older versions
22649,Prerequisites not found for course 22649 even in older versions
23901,Prerequisites not found for course 23901 even in older versions
23902,Prerequisites not found for course 23902 even in older versions
23981,Prerequisites not found for course 23981 even in older versions
26372,Prerequisites not found for course 26372 even in older versions
34331,Prerequisites not found for course 34331 even in older versions
34313,Prerequisites not found for course 34313 even in older versions
01918,Prerequisites not found for course 01918 even in older versions
42980,Prerequisites not found for course 42980 even in older versions
62619,Prerequisites not found for course 62619 even in older versions
62622,Prerequisites not found for course 62622 even in older versions
62325,Prerequisites not found for course 62325 even in older versions
27610,Prerequisites not found for course 27610 even in older versions
41787,Prerequisites not found for course 41787 even in older versions
62158,Prerequisites not found for course 62158 even in older versions
62218,Prerequisites not found for course 62218 even in older versions
62161,Prerequisites not found for course 62161 even in older versions
38799,Prerequisites not found for course 38799 even in older versions
25208,Prerequisites not found for course 25208 even in older versions
25309,Prerequisites not found for course 25309 even in older versions
22203,Prerequisites not found for course 22203 even in older versions
62159,Prerequisites not found for course 62159 even in older versions
62219,Prerequisites not found for course 62219 even in older versions
62223,Prerequisites not found for course 62223 even in older versions
23836,Prerequisites not found for course 23836 even in older versions
62412,Prerequisites not found for course 62412 even in older versions
23661,Prerequisites not found for course 23661 even in older versions
62558,Prerequisites not found for course 62558 even in older versions
62157,Prerequisites not found for course 62157 even in older versions
62500,Prerequisites not found for course 62500 even in older versions
62541,Prerequisites not found for course 62541 even in older versions
62771,Prerequisites not found for course 62771 even in older versions
62155,Prerequisites not found for course 62155 even in older versions
62156,Prerequisites not found for course 62156 even in older versions
62162,Prerequisites not found for course 62162 even in older versions
62163,Prerequisites not found for course 62163 even in older versions
62175,Prerequisites not found for course 62175 even in older versions
62176,Prerequisites not found for course 62176 even in older versions
62772,Prerequisites not found for course 62772 even in older versions
62172,Prerequisites not found for course 62172 even in older versions
62182,Prerequisites not found for course 62182 even in older versions
62192,Prerequisites not found for course 62192 even in older versions
62154,Prerequisites not found for course 62154 even in older versions
62153,Prerequisites not found for course 62153 even in older versions
62316,Prerequisites not found for course 62316 even in older versions
62179,Prerequisites not found for course 62179 even in older versions
62601,Prerequisites not found for course 62601 even in older versions
62136,Prerequisites not found for course 62136 even in older versions
62428,Prerequisites not found for course 62428 even in older versions
62557,Prerequisites not found for course 62557 even in older versions
01435,Prerequisites not found for course 01435 even in older versions
25201,Prerequisites not found for course 25201 even in older versions
25206,Prerequisites not found for course 25206 even in older versions
62576,Prerequisites not found for course 62576 even in older versions
10730,Prerequisites not found for course 10730 even in older versions
27815,Prerequisites not found for course 27815 even in older versions
12902,Prerequisites not found for course 12902 even in older versions
22206,Prerequisites not found for course 22206 even in older versions
42799,Prerequisites not found for course 42799 even in older versions
34391,Prerequisites not found for course 34391 even in older versions
22655,Prerequisites not found for course 22655 even in older versions
47509,Prerequisites not found for course 47509 even in older versions
62647,Prerequisites not found for course 62647 even in older versions
42990,Prerequisites not found for course 42990 even in older versions
42985,Prerequisites not found for course 42985 even in older versions
23832,Prerequisites not found for course 23832 even in older versions
23153,Prerequisites not found for course 23153 even in older versions
28930,Prerequisites not found for course 28930 even in older versions
62151,Prerequisites not found for course 62151 even in older versions
47517,Prerequisites not found for course 47517 even in older versions
47511,Prerequisites not found for course 47511 even in older versions
62580,Prerequisites not found for course 62580 even in older versions
22205,Prerequisites not found for course 22205 even in older versions
25205,Prerequisites not found for course 25205 even in older versions
42986,Prerequisites not found for course 42986 even in older versions
62234,Prerequisites not found for course 62234 even in older versions
10520,Prerequisites not found for course 10520 even in older versions
99999,Prerequisites not found for course 99999 even in older versions
36633,Prerequisites not found for course 36633 even in older versions
23923,Prerequisites not found for course 23923 even in older versions
25207,Prerequisites not found for course 25207 even in older versions
02593,Prerequisites not found for course 02593 even in older versions
62612,Prerequisites not found for course 62612 even in older versions
13451,Prerequisites not found for course 13451 even in older versions
